Word  |  Frequency  |  Frequency (%)
над  |  143  |  0.0592559%
стал  |  143  |  0.0592559%
Ты  |  141  |  0.0584272%
знал  |  141  |  0.0584272%
руки  |  141  |  0.0584272%
этой  |  140  |  0.0580128%
Анатоль  |  139  |  0.0575984%
глазами  |  139  |  0.0575984%
них  |  139  |  0.0575984%
Василий  |  138  |  0.0571841%
голос  |  138  |  0.0571841%
свое  |  138  |  0.0571841%
казалось  |  137  |  0.0567697%
человека  |  137  |  0.0567697%
своих  |  136  |  0.0563553%
жизни  |  135  |  0.0559409%
никогда  |  135  |  0.0559409%
прежде  |  135  |  0.0559409%
даже  |  134  |  0.0555265%
нем  |  133  |  0.0551122%
там  |  133  |  0.0551122%
видел  |  132  |  0.0546978%
графа  |  132  |  0.0546978%
нужно  |  132  |  0.0546978%
зю  |  131  |  0.0542834%
d  |  129  |  0.0534547%
Ах  |  129  |  0.0534547%
больше  |  129  |  0.0534547%
слова  |  128  |  0.0530403%
тоже  |  128  |  0.0530403%
через  |  128  |  0.0530403%
п  |  127  |  0.0526259%
всем  |  125  |  0.0517972%
два  |  125  |  0.0517972%
улыба  |  125  |  0.0517972%
вперед  |  124  |  0.0513828%
сказать  |  124  |  0.0513828%
этих  |  124  |  0.0513828%
вместе  |  122  |  0.050554%
видимо  |  121  |  0.0501396%
прин  |  121  |  0.0501396%
Ростова  |  120  |  0.0497253%
ж  |  120  |  0.0497253%
р  |  120  |  0.0497253%
тому  |  120  |  0.0497253%
хотел  |  120  |  0.0497253%
чего  |  120  |  0.0497253%
графин  |  119  |  0.0493109%
дом  |  119  |  0.0493109%
Так  |  118  |  0.0488965%
всего  |  118  |  0.0488965%
чтоб  |  118  |  0.0488965%
могу  |  117  |  0.0484821%
отца  |  117  |  0.0484821%
потом  |  117  |  0.0484821%
которую  |  116  |  0.0480678%
тно  |  116  |  0.0480678%
Когда  |  115  |  0.0476534%
лица  |  115  |  0.0476534%
свои  |  115  |  0.0476534%
вышел  |  114  |  0.047239%
подн  |  114  |  0.047239%
пр  |  114  |  0.047239%
re  |  113  |  0.0468246%
назад  |  113  |  0.0468246%
особенно  |  113  |  0.0468246%
котором  |  112  |  0.0464103%
которых  |  111  |  0.0459959%
офицер  |  110  |  0.0455815%
Элен  |  109  |  0.0451671%
ваше  |  109  |  0.0451671%
Пьеру  |  107  |  0.0443384%
подошел  |  107  |  0.0443384%
подумал  |  107  |  0.0443384%
смотрел  |  107  |  0.0443384%
дела  |  106  |  0.043924%
mon  |  105  |  0.0435096%
Кутузов  |  105  |  0.0435096%
гин  |  105  |  0.0435096%
зан  |  105  |  0.0435096%
разговор  |  105  |  0.0435096%
тех  |  105  |  0.0435096%
тот  |  105  |  0.0435096%
должен  |  104  |  0.0430952%
письмо  |  104  |  0.0430952%
говорили  |  103  |  0.0426809%
комнаты  |  103  |  0.0426809%
теб  |  103  |  0.0426809%
друга  |  102  |  0.0422665%
много  |  102  |  0.0422665%
нас  |  101  |  0.0418521%
Михайловна  |  100  |  0.0414377%
могла  |  100  |  0.0414377%
a  |  99  |  0.0410233%
государ  |  99  |  0.0410233%
лице  |  99  |  0.0410233%
объ  |  99  |  0.0410233%
свой  |  99  |  0.0410233%
здесь  |  98  |  0.040609%
лошадь  |  98  |  0.040609%
люди  |  97  |  0.0401946%
состо  |  97  |  0.0401946%
эта  |  97  |  0.0401946%
нельз  |  96  |  0.0397802%
обратилс  |  96  |  0.0397802%
солдат  |  96  |  0.0397802%
Ежели  |  95  |  0.0393658%
совершенно  |  95  |  0.0393658%
та  |  95  |  0.0393658%
той  |  95  |  0.0393658%
жизнь  |  94  |  0.0389515%
одно  |  94  |  0.0389515%
тыс  |  94  |  0.0389515%
les  |  93  |  0.0385371%
ne  |  93  |  0.0385371%
чувство  |  93  |  0.0385371%
je  |  92  |  0.0381227%
двери  |  92  |  0.0381227%
s  |  91  |  0.0377083%
дома  |  91  |  0.0377083%
кого  |  91  |  0.0377083%
комнату  |  91  |  0.0377083%
совсем  |  91  |  0.0377083%
видеть  |  90  |  0.037294%
пор  |  90  |  0.037294%
св  |  90  |  0.037294%
тут  |  90  |  0.037294%
Bourienne  |  89  |  0.0368796%
блест  |  89  |  0.0368796%
своем  |  89  |  0.0368796%
ту  |  89  |  0.0368796%
дыва  |  88  |  0.0364652%
нул  |  88  |  0.0364652%
сделать  |  88  |  0.0364652%
такое  |  88  |  0.0364652%
lle  |  87  |  0.0360508%
n  |  87  |  0.0360508%
pas  |  87  |  0.0360508%
Они  |  87  |  0.0360508%
приехал  |  87  |  0.0360508%
продолжал  |  87  |  0.0360508%
тогда  |  87  |  0.0360508%
говор  |  86  |  0.0356364%
долго  |  86  |  0.0356364%
которым  |  86  |  0.0356364%
этим  |  86  |  0.0356364%
одного  |  85  |  0.0352221%
С  |  84  |  0.0348077%
делать  |  84  |  0.0348077%
очевидно  |  84  |  0.0348077%
первый  |  84  |  0.0348077%
